"sitio_id","sitio_nm","id","actividad_id","actividad_label","abreviatura_id","abreviatura_label","carga_actividad"
f430dfc4-a8e3-11e4-8bad-6c3be5ba6ec8,BAHÍA ROSA BLANCA,"67525c2a-9036-4308-8084-68c2506af532","9b9b69d6-1de1-4862-a7f1-c6d6d34d21c1",CAMINATA,"9b9b69d6-1de1-4862-a7f1-c6d6d34d21c1",CA,0
"214e1f2c-743a-4e6f-9383-5706dd0cfd30",CERRO BRUJO,"54a904fb-5091-46ac-bdf9-62c99c2e286b","57986a17-f816-41f2-bf46-6e64f281757a",PANGA RIDE,"57986a17-f816-41f2-bf46-6e64f281757a",PR,
f434a5aa-a8e3-11e4-b705-6c3be5ba6ec8,CAAMAÑO,a1f4edec-0bf6-4c74-8fea-1955806b5523,bf289c8a-b410-4af1-89d4-fe657fbc7d2e,BUCEO DE INSTRUCCIÓN,bf289c8a-b410-4af1-89d4-fe657fbc7d2e,BI,1
"50f9b4f5-e5a6-4f14-85f2-d729e8c91f18",PUERTO COCA,"347edaed-9d71-4b10-83f7-ef388f7bec90",ef0b6210-2ad4-4691-b2ab-fb9ad873d39f,BUCEO SCUBA,ef0b6210-2ad4-4691-b2ab-fb9ad873d39f,SC,
c88768dc-bb59-4453-93b5-85c25aa8b10e,CERRO GALLINA,"8076e9b9-e678-4c53-8bfc-63e1e232ccf6","931a24f3-05e2-45e2-b61e-34a358b440c5",SNORKEL,"931a24f3-05e2-45e2-b61e-34a358b440c5",SN,0
"0695bf21-7f00-0010-a1d9-0000d0f4f6ab",PLAYA NORTE CERRO BRUJO,"734f4e4f-dd55-40fe-ad95-9fd2b0ec3b81","931a24f3-05e2-45e2-b61e-34a358b440c5",SNORKEL,"931a24f3-05e2-45e2-b61e-34a358b440c5",SN,0
"0994fa52-7f00-0010-3efb-000060f0529a",RUTA CANAL DE ITABACA-ZONA ESTE,"709030d4-dd84-4908-bb66-6a28061e3081","0c537320-7f00-0010-3efb-00005520442a",TABLA REMO,"0c537320-7f00-0010-3efb-00005520442a",TR,0
"0ff08cef-888b-45bf-9202-13d32830d924",EL BAJO,"8c67c839-f841-44fe-83a3-4f058661a361",bf289c8a-b410-4af1-89d4-fe657fbc7d2e,BUCEO DE INSTRUCCIÓN,bf289c8a-b410-4af1-89d4-fe657fbc7d2e,BI,0
"0983f046-7f00-0010-3efb-00006f2a2c42",RUTA PUNTA ESTRADA,df6a914c-4f8e-4e99-8dc4-53a62d9827fe,"0c537320-7f00-0010-3efb-00005520442a",TABLA REMO,"0c537320-7f00-0010-3efb-00005520442a",TR,0
"214e1f2c-743a-4e6f-9383-5706dd0cfd30",CERRO BRUJO,"070addea-1899-44c2-8e0d-35d0ad00eca7","0c537320-7f00-0010-3efb-00005520442a",TABLA REMO,"0c537320-7f00-0010-3efb-00005520442a",TR,0
c28ab0f9-a886-4a82-9d24-15229cb0dad2,SENDERO LOS PULPOS,fe704493-c681-44bd-b310-40ce87e2ca11,"9b9b69d6-1de1-4862-a7f1-c6d6d34d21c1",CAMINATA,"9b9b69d6-1de1-4862-a7f1-c6d6d34d21c1",CA,0
b83bbd83-74f8-4d31-92fe-c49356e68e42,ISLOTE GARDNER,"9ce2f0c9-9ac1-454f-9b04-b33405077ab1",ef0b6210-2ad4-4691-b2ab-fb9ad873d39f,BUCEO SCUBA,ef0b6210-2ad4-4691-b2ab-fb9ad873d39f,SC,4
a8d0de14-47ef-4551-ba9d-32214106843e,PLAZA SUR,"37a3fe7e-770e-42a5-b999-7c3e8bd70287","9b9b69d6-1de1-4862-a7f1-c6d6d34d21c1",CAMINATA,"9b9b69d6-1de1-4862-a7f1-c6d6d34d21c1",CA,0
"72159e2a-c5a0-4ab1-8a04-1e48b35d319b",ISLA LOBOS,"3100fbb7-232e-439f-b788-271590b27c0b","931a24f3-05e2-45e2-b61e-34a358b440c5",SNORKEL,"931a24f3-05e2-45e2-b61e-34a358b440c5",SN,
f712ca8c-19c2-4c0c-989d-cb75a6a85ecd,PLAZA NORTE,e7988022-5e63-4107-adb6-f003abeef313,eac9ef79-f37e-4f4a-ad0f-8b10010f1069,CHECK DIVE,eac9ef79-f37e-4f4a-ad0f-8b10010f1069,CD,0
f43039c0-a8e3-11e4-94b8-6c3be5ba6ec8,BAHÍA BORRERO,"24773a57-b344-48ee-a465-e0f318e62010","931a24f3-05e2-45e2-b61e-34a358b440c5",SNORKEL,"931a24f3-05e2-45e2-b61e-34a358b440c5",SN,0
f4369aa4-a8e3-11e4-b2ae-6c3be5ba6ec8,LA LOBERÍA - ISLA SAN CRISTÓBAL,"75150174-af5e-4b8f-bdf6-b5f18a75c243","931a24f3-05e2-45e2-b61e-34a358b440c5",SNORKEL,"931a24f3-05e2-45e2-b61e-34a358b440c5",SN,
f43039c0-a8e3-11e4-94b8-6c3be5ba6ec8,BAHÍA BORRERO,"52275418-6476-47d8-b120-76dc39f696d2","57986a17-f816-41f2-bf46-6e64f281757a",PANGA RIDE,"57986a17-f816-41f2-bf46-6e64f281757a",PR,0
f4369aa4-a8e3-11e4-b2ae-6c3be5ba6ec8,LA LOBERÍA - ISLA SAN CRISTÓBAL,"775df00d-11c9-43ee-9385-b9d6f439c0a2","621279b0-9e1e-460d-922b-1e485f0a2955",SURF,"621279b0-9e1e-460d-922b-1e485f0a2955",SF,0
"819469d3-c35f-4bed-8a92-cead74b23c67",PUNTA ESTRADA,"74748c1c-148a-4ce5-beaf-9ba009c2e7d0","931a24f3-05e2-45e2-b61e-34a358b440c5",SNORKEL,"931a24f3-05e2-45e2-b61e-34a358b440c5",SN,
f439208a-a8e3-11e4-abbc-6c3be5ba6ec8,PUERTO CHINO,"2a028b84-3984-4036-bb14-4f5585a8d60a","621279b0-9e1e-460d-922b-1e485f0a2955",SURF,"621279b0-9e1e-460d-922b-1e485f0a2955",SF,0
"819469d3-c35f-4bed-8a92-cead74b23c67",PUNTA ESTRADA,"90b41772-47f7-4d1f-a8e3-a5caa87083d7",fe8c554a-f0a7-42c2-be50-ab53cc202931,BUCEO NOCTURNO,fe8c554a-f0a7-42c2-be50-ab53cc202931,BN,2
